dialect,standard,response
"하나 틀린 거 닮덴 , 한문 . 거 시험 본 거 다 적어 와서라 . 지 아방이 와 일학년이 이런 걸 다 보나 ? 첨 , 벨놈으 세상 다 나왓저 . 게난 그 손지가 허는 말이 하나 틀령 이점 감점 뒛젠 . 구십팔점 나올 거우덴 . 거 어떵사 헌디 요즘 아이덜 막 벨라져 .","하나 틀린 거 같다고 , 한문 . 그거 시험 본 거 다 적어 왔더라 . 자기 아버지가 와 , 일학년이 이런 걸 다 보나 ? 참 , 별놈의 세상 다 나왔다 . 그러니까 그 손자가 하는 말이 하나 틀려서 이점 감점 됐다고 . 구십팔점 나올 거라고 . 그거 어떻게야 하는지 요즘 아이들 막 바라져 .","하나 틀린 거 같던데 , 한문 . 시험 본 거 다 적어 와서야 . 이 아이는 왜 학년이 올라갈수록 이런 걸 다 보는 건지 ? 처음에만 봐도 세상 다 나왔어 . 그 손지가 하는 말이 하나 틀렸다고 점수를 깎았나봐 . 구십팔점이 나왔을텐데 . 그래서 어쩔 수 없이 요즘 아이들도 벨랐나봐 ."
예 . 볼목리에선 ᄎᆞᆯ레가 뭐꽈 ? ᄎᆞᆯ레 .,예 . 보목리에서 ᄎᆞᆯ레가 뭡니까 ? ᄎᆞᆯ레 .,예. 볼목리에서는 천둥이 뭐야 ? 천둥.
잇지 안우꽈 ? 건 것도 계 .,있지 않습니까 ? 건 것도 계 .,있지 않아요? 그러는 건 것도 그렇죠.
"옛날에 차반지 , 큰 차반지덜 헤영 , 그것에 놔근에 질루주게 .","옛날에 채반 , 큰 채반들 해서 , 그것에 노서 기르지 .","옛날에 차반지 , 큰 차반지를 해봤는데, 그걸로 손가락에 꽉 쥐게 됩니다."
"엇어예 . 구월덜 넘어가쿠다 . 백로 상강이 이신게 , 이때는 .","없어요 . 구월 넘어가겠습니다 . 백로 상강이 있네요 , 이때는 .","없어요. 구월달 넘어갔어요 . 백로 상강이 계신데, 이때는요 ."
"아 , 칠성젠 어떵 허여 ?","아 , 칠성젠 어떻게 해 ?","아, 칠성은 어떻게 되나요?"
홍세함 그거는 누가 허느냐 허면 .,함 그거는 누가 하느냐 하면 .,홍세함 그거는 누가 하는 거냐 하면.
그 전이는 ᄎᆞᆫ혹헹 멘들안 .,그 전에는 찰흙으로 만들었어 .,그 전에는 어떻게 했는지 몰라요.
"찢이면은 , 이것이 애기 이제 옷이엔 하면은 이거 영 헤근에 앞판 뒤판 아니 ?","찢으면 , 이것이 아기 이제 옷이라고 하면 이거 이렇게 해서 앞판 뒤판 아니 ?",찢으면 이거가 애기옷이면 이거는 옆구멍이나 앞뒷편이 아닐까요?
"유월절 . 유월절 전의 . 옛날에는 유월절 전의 갈앗수다 . 유월 메칠날 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전의 갈앗수다 . ᄒᆞᆫ 삼일 전이라도 ᄒᆞ를 전이라도 유월절 전의 .","유월절 . 유월절 전에 . 옛날에는 유월절 전에 갈았습니다 . 유월 며칟날 , 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전에 갈았습니다 . 한 삼일 전이라도 유월절 전에 .","오월절 . 오월절 전의 . 옛날에는 오월절 전의 갔었어요 . 오월 일날 오월 칠 일날 , 오월절 박아둔 거 아니라 오월절이 그 오월절 전의 갔었어요 . 세일 전이라도 만일 전이라도 오월절 전의 ."
"응 , 웨가칩이서 갈아나고 요디 우리 친정은 수망린디 안 갈안 .",응 외갓집에서 갈았었고 요기 우리 친정은 수망린데 안 갈았어 .,"응 , 웨가칩에서 바꿔 먹고 요디 우리 집은 수망막이 안 달려 있어."
"저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , ᄉᆞ월 말일에 저거 놓기 시작헌다 . 오월 초로구나 , 오월 초 .","저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , 사월 말일에 저거 놓기 시작한다 . 오월 초로구나 오월 초 .","그 수박은 지금부터 나오는 거야 , 지금은 한 5월 경이고 , 5월 말일에 그것을 놓기 시작합니다 . 오월 초인가 , 오월 초쯤이겠죠 ."
하여튼 고네할미는 잘 나 .,하여튼 달개비는 잘 나 .,어쨌든 조부모님은 잘 지내고 있습니다.
게난 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지엇고예,그러니까 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지었고요 ?,우리 어머니는 협재로 가도 물건 사는 거 안 하고 농사만 짓고 있어요.
그건 여자 칩이지예 ? 건 .,그건 여자 집이지요 ? 건 .,그건 여자친구인가요 ? 그래요.
ᄂᆞᆷ이 쉐든 ᄂᆞᆷ이 ᄆᆞᆯ이든 막 방목헹 내불민 게 .,남의 쇠든 남의 말이든 막 방목을 해서 내버리면 .,돌이 쉬든 돌이 말이든 막 방목헹 내불지요 .
"아니 , 나는 나는 ᄄᆞᆫ 디 강 살고 , 집 상 강 ᄄᆞᆫ 디 강 살고 .","아니 , 나는 딴 데 가서 살고 집 사서 가서 딴 데 가서 살고 .","아니요 , 저는 저는 바다 살고 , 집 상 바다 살고요."
ᄒᆞᆫ 집이 못 사는 사름 많아 .,한 집에 못 사는 사람 많아 .,집을 못 사는 사람이 많아요.
"우리도 베 서도양 , 우리 아이덜 두건 백 개 사단 , 다 사단 .","우리도 베 있어도요 우리 아이들 두건 백 개 사다가 , 다 사다가 .","우리도 잘 생각해봤는데, 우리 아이들 두건 백 개씩 사야겠어요, 모두 사야겠어요."
경허단에 안 판관도 안뒈고 .,그러다가 안 판관도 안되고 .,그렇게 하면 안 되는데 안 판 관도 안 뒀고.
