dialect,standard,response,BLEU_score,ori_sim,new_sim,relative_sim,dialect_correction,standard_preserve
"하나 틀린 거 닮덴 , 한문 . 거 시험 본 거 다 적어 와서라 . 지 아방이 와 일학년이 이런 걸 다 보나 ? 첨 , 벨놈으 세상 다 나왓저 . 게난 그 손지가 허는 말이 하나 틀령 이점 감점 뒛젠 . 구십팔점 나올 거우덴 . 거 어떵사 헌디 요즘 아이덜 막 벨라져 .","하나 틀린 거 같다고 , 한문 . 그거 시험 본 거 다 적어 왔더라 . 자기 아버지가 와 , 일학년이 이런 걸 다 보나 ? 참 , 별놈의 세상 다 나왔다 . 그러니까 그 손자가 하는 말이 하나 틀려서 이점 감점 됐다고 . 구십팔점 나올 거라고 . 그거 어떻게야 하는지 요즘 아이들 막 바라져 .","하나 틀린 것 같은데, 한글. 시험 본 결과를 다 적어와서요. 이제 막 학년 맞은 아이가 이런 걸 다 보나요? 처음에 벨냥이 등장해서 깜짝 놀랐어요. 그 담당 선생님이 틀린 것을 하나 발견해서 감점을 받았네요. 아마도 98점이 나왔을 거예요. 그렇게 할 말은 없죠. 요즘 아이들은 뭐 이상한 언어를 사용하더라고요.",0.038,0.868,0.784,0.903,0.143,0.63
예 . 볼목리에선 ᄎᆞᆯ레가 뭐꽈 ? ᄎᆞᆯ레 .,예 . 보목리에서 ᄎᆞᆯ레가 뭡니까 ? ᄎᆞᆯ레 .,예. 볼목리에서는 철이 뭐예요? 철이예요.,0,0.816,0.556,0.681,0.0,0.25
잇지 안우꽈 ? 건 것도 계 .,있지 않습니까 ? 건 것도 계 .,있지 않아요? 그건 거기도 있어요.,0.031,0.92,0.564,0.613,0.5,0.25
"옛날에 차반지 , 큰 차반지덜 헤영 , 그것에 놔근에 질루주게 .","옛날에 채반 , 큰 채반들 해서 , 그것에 노서 기르지 .","옛날에 자장가, 큰 자장가들을 놀리며, 그것에 누워서 자게.",0.026,0.607,0.413,0.68,0.2,0.545
"엇어예 . 구월덜 넘어가쿠다 . 백로 상강이 이신게 , 이때는 .","없어요 . 구월 넘어가겠습니다 . 백로 상강이 있네요 , 이때는 .","어이야. 9월까지 넘어갔다. 백로 상강이 신분인 것 같은데, 그때는 언제였다고?",0.052,0.782,0.682,0.872,0.0,0.308
"아 , 칠성젠 어떵 허여 ?","아 , 칠성젠 어떻게 해 ?",이제 칠성이 어떻게 지내고 있나요?,0.037,0.803,0.78,0.971,0.5,0.0
홍세함 그거는 누가 허느냐 허면 .,함 그거는 누가 하느냐 하면 .,"홍세함, 그건 누가 허락했나? 허락했다면 말이지.",0.038,0.719,0.651,0.905,0.333,0.444
그 전이는 ᄎᆞᆫ혹헹 멘들안 .,그 전에는 찰흙으로 만들었어 .,그 전에는 청혼한 사람들이 많았다.,0.121,0.458,0.299,0.653,0.333,0.333
"찢이면은 , 이것이 애기 이제 옷이엔 하면은 이거 영 헤근에 앞판 뒤판 아니 ?","찢으면 , 이것이 아기 이제 옷이라고 하면 이거 이렇게 해서 앞판 뒤판 아니 ?","이것을 찢으면, 이것은 이제 애기의 옷이 되는데, 이거는 앞면과 뒷면이 모두 같지 않아요?",0.017,0.88,0.843,0.958,0.167,0.3
"유월절 . 유월절 전의 . 옛날에는 유월절 전의 갈앗수다 . 유월 메칠날 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전의 갈앗수다 . ᄒᆞᆫ 삼일 전이라도 ᄒᆞ를 전이라도 유월절 전의 .","유월절 . 유월절 전에 . 옛날에는 유월절 전에 갈았습니다 . 유월 며칟날 , 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전에 갈았습니다 . 한 삼일 전이라도 유월절 전에 .","유월절 전. 예전에는 유월절 전에 갈아주는 것이 있었다. 유월 메칠날과 유월 칠 일에, 유월절 박아놓은 건 아니고 유월절 전에 갈아주던 것이다. 한 삼일 전이더라도 유월절 전에 갈아준다.",0.043,0.935,0.915,0.979,0.556,0.458
