,dialect,standard,VGPT,EIGPT,FIGPT,EFIGPT
0,"하나 틀린 거 닮덴 , 한문 . 거 시험 본 거 다 적어 와서라 . 지 아방이 와 일학년이 이런 걸 다 보나 ? 첨 , 벨놈으 세상 다 나왓저 . 게난 그 손지가 허는 말이 하나 틀령 이점 감점 뒛젠 . 구십팔점 나올 거우덴 . 거 어떵사 헌디 요즘 아이덜 막 벨라져 .
","하나 틀린 거 같다고 , 한문 . 그거 시험 본 거 다 적어 왔더라 . 자기 아버지가 와 , 일학년이 이런 걸 다 보나 ? 참 , 별놈의 세상 다 나왔다 . 그러니까 그 손자가 하는 말이 하나 틀려서 이점 감점 됐다고 . 구십팔점 나올 거라고 . 그거 어떻게야 하는지 요즘 아이들 막 바라져 .
","한 가지 틀린 것 뿐이었는데, 한자가 들어간 시험 문제를 다 적어와 달라고 했어. 우리 아빠가 와도 일학년 아이들이 이런 것을 다 알아볼까? 처음에는 벨놈이란 사람이 세상에 다 나와버렸지. 그런데 그 손지가 하는 말이 한 가지 잘못됐어서 감점을 당할 지도 몰라. 구십팔점을 얻을 거라고 생각했는데, 어떻게 할지 모르겠어. 요즘 아이들은 막 벨라져서 어떻게 될지 몰라.","하나 틀린 게 있었던, 한문. 시험 본 것 다 적어와서야. 제 아버지가 와 일학년이 이런 것을 다 볼까? 처음에는 벨머리가 세상 다 나왔었지. 그러나 그 손자가 하는 말이 하나 틀렸기 때문에 감점당했지. 구십팔 점 나왔어야 했는데. 이런 것들은 어떻게 하겠어, 요즘 아이들은 벨라져.","하나 틀린 것 같던, 한문. 것 시험 본 것 다 적어와서라. 지 아버지가 와 일학년이 이런 것을 다 볼까? 처음에 벨소리가 울렸지. 그 손지가 하는 말이 하나 틀렸다는 점으로 인해 감점을 받았다. 구십팔점이 나올 것이었다. 것 어떻게 할까. 지금처럼 아이들이라면 막 벨라고 할까.","하나 틀린 게 있던데, 한 문. 시험 본 거 다 적어와서야. 저 아저씨가 와서 일학년이 이런 걸 다 본다고? 처음에, 벨뱅이 세상 다 나와버렸어. 그게 그 손지가 하는 말이 하나 틀렸다고해서 감점을 받았네. 구십팔점 나올 거였는데. 그게 어떻게 된 건지 요즘 아이들은 다 벨라져."
0,"예 . 볼목리에선 ᄎᆞᆯ레가 뭐꽈 ? ᄎᆞᆯ레 .
","예 . 보목리에서 ᄎᆞᆯ레가 뭡니까 ? ᄎᆞᆯ레 .
",예. 볼묵리에서는 철레가 뭔가요? 철레.,예. 볼목리에서는 뭐라고 하나요? 뭐라고요?,예. 볼목리에서는 찰떡이 뭐니? 찰떡이요.,네. 볼목리에서는 촐래가 뭐예요? 촐래.
0,"잇지 안우꽈 ? 건 것도 계 .
","있지 않습니까 ? 건 것도 계 .
",이게 안되냐? 이건 것도 계시다.,있잖아요? 그거도 알아요.,이제 안 가봤니? 거기 것도 계 있어.,있잖아요? 그건 것도 있어요.
0,"옛날에 차반지 , 큰 차반지덜 헤영 , 그것에 놔근에 질루주게 .
","옛날에 채반 , 큰 채반들 해서 , 그것에 노서 기르지 .
","옛날에 차륜, 큰 차륜들을 만들어서 그것에 물을 부어서 발효시키게 됩니다.","옛날에 차바자르, 큰 차바자르들을 가져와서 그것에 놓아서 질주게 해.","옛날에 차 반지, 큰 차 반지들을 가져다가, 그것에 묶어서 매달리게.","옛날에 차바다지 , 큰 차바다지들을 가져다가 , 그것에 놓고서 질러주게 해."
0,"엇어예 . 구월덜 넘어가쿠다 . 백로 상강이 이신게 , 이때는 .
","없어요 . 구월 넘어가겠습니다 . 백로 상강이 있네요 , 이때는 .
","어떻게 지내세요? 구월동 건너갔다. 백록담 상강이 와 계셨네요, 이 때는요.","어머 . 9월도 지나갔구나 . 화이트데이 상강이 오신 것 같아요 , 그때는 .","뭐래. 구월둘 넘어간 것 같다. 백로 상강이 이신 것 같아, 이때는.","어서 왔어요. 9월도 넘어간 것 같아요. 백로 상강이 이쪽에 있는 거 같은데, 이 때였죠."
0,"아 , 칠성젠 어떵 허여 ?
","아 , 칠성젠 어떻게 해 ?
","아, 칠성이는 어떻게 지내고 있어?","아 , 칠성이 어떻게 되었어요 ?","아, 칠성이(가) 어떻게 되었어?","아 , 칠성이 어떻게 지내고 있어?"
0,"홍세함 그거는 누가 허느냐 허면 .
","함 그거는 누가 하느냐 하면 .
","홍세함, 그것은 누가 허냐면 허면 되겠지요.",그거는 누가 할 건가요 하면 그러죠.,"홍세함, 그거는 누가 허냐면.",그게 뭐냐면 누가 허락했는지 봐야지.
0,"그 전이는 ᄎᆞᆫ혹헹 멘들안 .
","그 전에는 찰흙으로 만들었어 .
",그 전에는 찬바람이 많이 불었던 것 같아.,그 전이는 매우 혼잡한 사람들 안에서입니다.,그 전에는 저희들이 있었어요.,그 전에는 차마르는 것들 안 했었어.
0,"찢이면은 , 이것이 애기 이제 옷이엔 하면은 이거 영 헤근에 앞판 뒤판 아니 ?
","찢으면 , 이것이 아기 이제 옷이라고 하면 이거 이렇게 해서 앞판 뒤판 아니 ?
","이것을 찢으면, 이제 이 옷은 입을 수 없게 될 거야. 이것은 앞면과 뒷면이 없는 건 맞아?","만약 이것이 아기의 옷이라면, 앞판과 뒤판이 구분이 안 되겠네요.","찢으면, 이것이 아기 옷인데 하면 이게 영 헤진 것인가요? 앞판과 뒤판이 아닌가요?","찢으면, 이 옷이 애기한테 입히려면 이것은 앞뒤가 헷갈려서 어디가 앞, 어디가 뒤인가요?"
0,"유월절 . 유월절 전의 . 옛날에는 유월절 전의 갈앗수다 . 유월 메칠날 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전의 갈앗수다 . ᄒᆞᆫ 삼일 전이라도 ᄒᆞ를 전이라도 유월절 전의 .
","유월절 . 유월절 전에 . 옛날에는 유월절 전에 갈았습니다 . 유월 며칟날 , 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전에 갈았습니다 . 한 삼일 전이라도 유월절 전에 .
","유월절. 유월절 전. 예전에는 유월절 전의 날을 갈앗수라 부르곤 했습니다. 유월 14일과 15일, 즉 유월절 당일이 아니더라도 유월절 전인 날 중에서 3일 전이나 2일 전이라도 갈앗수입니다.",부활절 전날. 예전에는 부활절 전날을 갈앗이라고 불렀다. 부활절 7일 전인 유월 7일에 심은 것이 아니라 부활절 전날을 갈앗이라고 했다. 3일 전이나 1일 전이더라도 부활절 전날로 간주한다.,유월절 전. 옛날에는 유월절 전의 물을 가져왔다. 유월 7일이 아니라 유월절 전의 물을 가져온다. 3일 전이나 1일 전이든 유월절 전의 물을 가져오면 된다.,"부활절 전날. 옛날에는 부활절 전날을 가리켜 갈앗이라고 했습니다. 부활절을 기준으로 하는 것이 아니라, 부활절 전날을 갈앗이라고 했습니다. 세일 전이든 내일 전이든, 부활절 전날을 갈앗이라고 했습니다."
0,"응 , 웨가칩이서 갈아나고 요디 우리 친정은 수망린디 안 갈안 .
","응 외갓집에서 갈았었고 요기 우리 친정은 수망린데 안 갈았어 .
","응, 왜 바꿔야 하고요? 우리 집은 수망리에 안 갈 거예요.","응, 어제 비가와서 길이 미끄러웠고요, 우리 집은 바닷가에 있어서 안 갔어.","응, 어제 우리 집에서 갈아나고 오늘 우리 친정은 수망리에 안 갈 거야.","응, 가족들이 이사하고 나서 우리 친정은 많이 먼 거리라 안 갈 수밖에 없어."
