dialect,standard,naive_response,BLEU_score,ori_sim,new_sim,relative_sim,dialect_correction,standard_preserve,new_response
BLEU
알암수과몰람수과?,알겠습니까모르겠습니까?,알아요? 몰라요?,0.0,0.385,0.567,1.473,0.0,1.0,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
맛인.,맛있어.,맛있다.,0.0,0.649,0.963,1.484,0.0,0.0,맛있어.,1.0,0.649,1.0,1.541,1.0,0.0
그게 아니고 무좀 무좀이랜 하는디 어제 발톱이 떼져부렀거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떼져버렸거든?,"그게 아니라 무찌름이라는데, 어제 발톱이 떨어졌어요.",0.077,0.982,0.783,0.797,0.0,0.545,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떨어져버렸거든?,0.841,0.982,0.995,1.013,0.667,0.769
명질에 다 같이 모여그네 이렇게,명절에 다 같이 모여서 이렇게,모두 명지에 모여봅시다.,0.0,0.582,0.479,0.823,0.0,0.333,명절에 다 같이 모여서 이렇게,1.0,0.582,1.0,1.718,1.0,0.75
어서?,없어?,어서 뭐야?,0.0,0.467,0.402,0.861,0.0,0.0,없어?,1.0,0.467,1.0,2.141,1.0,0.0
맞아 겅해 나도 겅해 나도 나도,맞아 그래 나도 그래 나도 나도,그래 맞아 고마워 나도 고마워 나도,0.053,0.925,0.596,0.644,1.0,0.8,맞아 그래 나도 그래 나도,0.819,0.925,0.984,1.064,1.0,0.889
이쁜디게,이쁜데,예쁘게,0.0,0.894,0.768,0.859,0.0,0.0,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
이제 커노니깐 클 때 까지 그 집을 해노난 엉망징창이 된거야,이제 크니깐 클 때 까지 그 집을 하니까 엉망징창이 된거야,이젠 커서니깐 큰 때까지 그 집을 정리해야겠다. 엉망진창이 된 것 같아.,0.052,0.862,0.871,1.01,0.0,0.421,맛있어.,1.0,0.649,1.0,1.541,1.0,0.0
sim
못 키우쿠과?,못 키우겠습니까?,뭐라고 하는 거죠? 이해가 안 가네요.,0.0,0.674,0.138,0.205,0.0,0.0,키우지 못하나요?,0.0,0.674,0.949,1.408,0.0,0.667
