dialect,standard,response
"하나 틀린 거 닮덴 , 한문 . 거 시험 본 거 다 적어 와서라 . 지 아방이 와 일학년이 이런 걸 다 보나 ? 첨 , 벨놈으 세상 다 나왓저 . 게난 그 손지가 허는 말이 하나 틀령 이점 감점 뒛젠 . 구십팔점 나올 거우덴 . 거 어떵사 헌디 요즘 아이덜 막 벨라져 .","하나 틀린 거 같다고 , 한문 . 그거 시험 본 거 다 적어 왔더라 . 자기 아버지가 와 , 일학년이 이런 걸 다 보나 ? 참 , 별놈의 세상 다 나왔다 . 그러니까 그 손자가 하는 말이 하나 틀려서 이점 감점 됐다고 . 구십팔점 나올 거라고 . 그거 어떻게야 하는지 요즘 아이들 막 바라져 .","하나 틀린 거 있댄데 , 한문 . 시험 본 거 다 적어 왔더라 . 지금 일학년이 이런 걸 다 보나 ? 처음에는 벨머리가 세상 다 나왔어 . 그런데 그 손지가 하는 말이 하나 틀렸다고 감점 받았어 . 구십팔점 나올 거였는데 . 그 어떻게 해야 할까요 ? 요즘 아이들 막 벨쩌니까 ."
예 . 볼목리에선 ᄎᆞᆯ레가 뭐꽈 ? ᄎᆞᆯ레 .,예 . 보목리에서 ᄎᆞᆯ레가 뭡니까 ? ᄎᆞᆯ레 .,예 . 볼목리에서는 철하나 뭐예요 ? 철하나 .
잇지 안우꽈 ? 건 것도 계 .,있지 않습니까 ? 건 것도 계 .,있잖아요? 있던 것도 계시죠.
"옛날에 차반지 , 큰 차반지덜 헤영 , 그것에 놔근에 질루주게 .","옛날에 채반 , 큰 채반들 해서 , 그것에 노서 기르지 .","옛날에 차반지 , 큰 차반지들이 있었는데요 , 그것을 농사할 때에 질러주던 거예요 ."
"엇어예 . 구월덜 넘어가쿠다 . 백로 상강이 이신게 , 이때는 .","없어요 . 구월 넘어가겠습니다 . 백로 상강이 있네요 , 이때는 .","없어요. 구월달 넘어가기 전이예요. 백로 상강이 이신 분이시네요, 그때는요."
"아 , 칠성젠 어떵 허여 ?","아 , 칠성젠 어떻게 해 ?","아, 칠성이는 어떻게 되나요?"
홍세함 그거는 누가 허느냐 허면 .,함 그거는 누가 하느냐 하면 .,홍세함이라는 것은 누가 말하는 것이냐에 따라 달라진다.
그 전이는 ᄎᆞᆫ혹헹 멘들안 .,그 전에는 찰흙으로 만들었어 .,그 전에는 진솔히 말해 많이 어려웠습니다.
"찢이면은 , 이것이 애기 이제 옷이엔 하면은 이거 영 헤근에 앞판 뒤판 아니 ?","찢으면 , 이것이 아기 이제 옷이라고 하면 이거 이렇게 해서 앞판 뒤판 아니 ?",찢으면 이거 애기 옷이었으면 앞판 뒤판이 아니겠어요 ?
"유월절 . 유월절 전의 . 옛날에는 유월절 전의 갈앗수다 . 유월 메칠날 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전의 갈앗수다 . ᄒᆞᆫ 삼일 전이라도 ᄒᆞ를 전이라도 유월절 전의 .","유월절 . 유월절 전에 . 옛날에는 유월절 전에 갈았습니다 . 유월 며칟날 , 유월 칠 일날 , 유월절 박아논 거 아니라 유월절이 그 유월절 전에 갈았습니다 . 한 삼일 전이라도 유월절 전에 .","여름철 말이야 . 여름철 전의 . 옛날에는 여름철 전의 걸 갔었어 . 여름 초일날 여름 일곱 일날 , 여름철에 밭에 있는 거 아니라 여름철 전의 것을 갔었어 . 한 삼일 전이라도 둘 전이라도 여름철 전의 것을 갔었어 ."
"응 , 웨가칩이서 갈아나고 요디 우리 친정은 수망린디 안 갈안 .",응 외갓집에서 갈았었고 요기 우리 친정은 수망린데 안 갈았어 .,"응 , 웨가칩에서 바꿔도 되고 요디 우리 친정은 수망리에서도 안 갈 거예요 ."
"저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , ᄉᆞ월 말일에 저거 놓기 시작헌다 . 오월 초로구나 , 오월 초 .","저 수박은 . 수박도 지금으로부터 나는 거 , 지금이 한 오월 경 , 사월 말일에 저거 놓기 시작한다 . 오월 초로구나 오월 초 .","그 수박은 . 수박도 지금부터 나는 거야 , 지금이 한 5월 경 , 5월 말일에 그걸 놓기 시작하겠지 . 5월 초로 보면 돼 , 5월 초 ."
하여튼 고네할미는 잘 나 .,하여튼 달개비는 잘 나 .,어쨌든 우리 할머니는 잘 계시네요.
게난 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지엇고예,그러니까 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지었고요 ?,우리 어머니는 협재로 가도 물질 이런 거 안 하고 농사만 지었습니다.
그건 여자 칩이지예 ? 건 .,그건 여자 집이지요 ? 건 .,그건 여자 친구잖아 ? 건.
