dialect,standard,response
육십 삼이 나온 거라,육십 삼이 나온 거야,육십 삼살이 되었다.
개팔자가 상팔자 라는 말이 있져 야이가 제일 편햄쪄 지금,개팔자가 상팔자 라는 말이 있잖아 얘가 제일 편하지 지금,"개팔자가 상팔자라는 말이 있다는 건 내용이 같지만, 표현이 조금 다르다. 지금은 표준어를 사용하는 경우가 많기 때문에, 상황에 맞게 사용하는 것이 좋다."
근데 새로운거 이모 하고 엄마가예 이제까지 한번도 못 먹어 본 맛좋은 진미를 나가 맛 좋게 먹을 수 있는 데를 딱 해 가지고,근데 새로운거 이모 하고 엄마가요 이제까지 한번도 못 먹어 본 맛좋은 진미를 내가 맛 좋게 먹을 수 있는 데를 딱 해 가지고,"그러니까, 새로운 것이에요. 이모와 엄마가 지금까지 한번도 먹어보지 못한 맛좋은 진미를 먹을 수 있는 곳을 찾아서 가보려고요."
어 이모는 과자 먹지예 그거 과자도 예 한두 개만 집어먹어 그거 한 봉지를 그냥 홀라당 다 먹으니까 아프지,어 이모는 과자 먹죠 그거 과자도 예 한두 개만 집어먹어 그거 한 봉지를 그냥 홀라당 다 먹으니까 아프지,저 이모는 과자를 먹어요. 그런데 과자도 한두 개만 먹어야죠. 한 봉지를 한꺼번에 다 먹으면 아플 거예요.
근데 이제 뭔가 먹으믄 예 빨리 저장해야겠다 너 더 먹어라 더 먹어라 막 하거든,근데 이제 뭔가 먹으면 예 빨리 저장해야겠다 너 더 먹어라 더 먹어라 막 하거든,하지만 이제 뭔가 먹으면 바로 저장해야겠다. 너도 더 먹어야 해. 너무 많이 먹어도 그렇지 말고.
무사  안치완?,왜 안치웠대?,무사 안치완?
그래 엄마 이모가 못하면 우리 엄마 같은 사람한테 골아부러 그런거 잘해,그래 엄마 이모가 못하면 우리 엄마 같은 사람한테 말해버려 그런거 잘해,"네, 엄마. 이모가 못하면 저희 엄마 같은 분께 부탁해서 그런 일을 잘해야겠어요."
야 와가지고 너무 한 것 아니냐 또 따지맨 예 야 잘못한 거를 예 그것도 안 하고 예,야 와가지고 너무 한 것 아니냐 또 따지네요 예 야 잘못한 거를 예 그것도 안 하고 예,너 지금 너무 과격하게 행동한 거 아니야? 그리고 싸우면서도 다른 사람이 잘못 한 거도 지적하지 마.
전화해가지고 나 안골안? 전화와가지고 다 나가라고,전화해가지고 내가 말 안했니? 전화와가지고 다 나가라고,전화해도 안나와서 걱정됐어. 전화와서 다 나가라고 해줘.
아니우다.,아닙니다.,아니요.
알암수과몰람수과?,알겠습니까모르겠습니까?,알아요? 몰라요?
봄만 좋아햄수다겅 해야지,봄만 좋아합니다그렇게 해야지,봄만 좋아합니다. 그렇게 말해야죠.
그냥 좋수다.,그냥 좋아요.,그냥 좋아요.
내가 말했잖수.,내가 말했잖아.,내가 말했잖아요.
엄마 저번에 그거 건드련? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,엄마 저번에 그거 건드렸어? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,"어머니, 지난번에 그것을 만졌나요? 이렇게 말하는 것이 사투리를 건드는 것이죠. 서울말은 아니에요."
맛인.,맛있어.,맛있다.
아까 말 했잖수.,아까 말 했잖아.,방금 말했잖아요.
이렇게 반 반씩 이렇게 하는거.,이렇게 반 반씩 이렇게 하는거야.,이렇게 반씩 절반으로 하는 것입니다.
너 머리 너 머리에 젖은거 같은데 너 머리에 젖언 만져봐 머리,너 머리 너 머리에 젖은거 같은데 너 머리에 젖었어 만져봐 머리,"당신 머리에 뭔가 젖은 것 같은데, 손으로 만져봐요."
아니 없수다.,아니 없습니다.,"아니요, 없습니다."
이거 인터넷에서 샀지. 이거 메이커일꺼라 것도,이거 인터넷에서 샀지. 이거 메이커일꺼야 그것도,이건 인터넷으로 샀어요. 이건 제조사 제품이라고 하네요.
혹시 제 제주도와 관련된 영화를 본 적이 이서?,혹시 제 제주도와 관련된 영화를 본 적이 있어?,제주도와 관련된 영화를 본 적이 있나요?
지금 한 삼 이십오분 남았져게.,지금 한 삼 이십오분 남았어.,지금 한 삼이십오분 남았습니다.
내놓을수 이서. 우리가 막 하영 노력한게 너무 많이 들어가부난,내놓을수 있어. 우리가 막 많이 노력한게 너무 많이 들어가서,내놓을 수 있어. 우리가 막 얼마나 열심히 노력한지 정말 많이 들어갔어.
아니 엄마꺼 뜬거.,아니 엄마꺼 뜬거야.,"아니요, 엄마가 삶은 것입니다."
겁나 발발거리는 거.,겁나 발발거리는 거야.,너무 불안한 것 같아요.
못 키우쿠과?,못 키우겠습니까?,뭐라고 하는 거죠? 이해가 안 가네요.
말해서.,말했어.,말씀해주세요.
그게 아니고 무좀 무좀이랜 하는디 어제 발톱이 떼져부렀거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떼져버렸거든?,"그게 아니라 무찌름이라는데, 어제 발톱이 떨어졌어요."
