dialect,standard,response,BLEU_score,ori_sim,new_sim,relative_sim,dialect_correction,standard_preserve
육십 삼이 나온 거라,육십 삼이 나온 거야,육십 삼살이 되었다.,0.052,0.986,0.879,0.891,0.0,0.333
개팔자가 상팔자 라는 말이 있져 야이가 제일 편햄쪄 지금,개팔자가 상팔자 라는 말이 있잖아 얘가 제일 편하지 지금,"개팔자가 상팔자라는 말이 있다는 건 내용이 같지만, 표현이 조금 다르다. 지금은 표준어를 사용하는 경우가 많기 때문에, 상황에 맞게 사용하는 것이 좋다.",0.015,0.875,0.626,0.715,0.0,0.37
근데 새로운거 이모 하고 엄마가예 이제까지 한번도 못 먹어 본 맛좋은 진미를 나가 맛 좋게 먹을 수 있는 데를 딱 해 가지고,근데 새로운거 이모 하고 엄마가요 이제까지 한번도 못 먹어 본 맛좋은 진미를 내가 맛 좋게 먹을 수 있는 데를 딱 해 가지고,"그러니까, 새로운 것이에요. 이모와 엄마가 지금까지 한번도 먹어보지 못한 맛좋은 진미를 먹을 수 있는 곳을 찾아서 가보려고요.",0.072,0.984,0.912,0.927,0.0,0.541
어 이모는 과자 먹지예 그거 과자도 예 한두 개만 집어먹어 그거 한 봉지를 그냥 홀라당 다 먹으니까 아프지,어 이모는 과자 먹죠 그거 과자도 예 한두 개만 집어먹어 그거 한 봉지를 그냥 홀라당 다 먹으니까 아프지,저 이모는 과자를 먹어요. 그런데 과자도 한두 개만 먹어야죠. 한 봉지를 한꺼번에 다 먹으면 아플 거예요.,0.052,0.997,0.925,0.928,0.0,0.606
근데 이제 뭔가 먹으믄 예 빨리 저장해야겠다 너 더 먹어라 더 먹어라 막 하거든,근데 이제 뭔가 먹으면 예 빨리 저장해야겠다 너 더 먹어라 더 먹어라 막 하거든,하지만 이제 뭔가 먹으면 바로 저장해야겠다. 너도 더 먹어야 해. 너무 많이 먹어도 그렇지 말고.,0.09,0.996,0.889,0.893,1.0,0.429
무사  안치완?,왜 안치웠대?,무사 안치완?,0,0.342,0.342,1.0,0.0,2.0
그래 엄마 이모가 못하면 우리 엄마 같은 사람한테 골아부러 그런거 잘해,그래 엄마 이모가 못하면 우리 엄마 같은 사람한테 말해버려 그런거 잘해,"네, 엄마. 이모가 못하면 저희 엄마 같은 분께 부탁해서 그런 일을 잘해야겠어요.",0.068,0.818,0.804,0.983,0.0,0.545
야 와가지고 너무 한 것 아니냐 또 따지맨 예 야 잘못한 거를 예 그것도 안 하고 예,야 와가지고 너무 한 것 아니냐 또 따지네요 예 야 잘못한 거를 예 그것도 안 하고 예,너 지금 너무 과격하게 행동한 거 아니야? 그리고 싸우면서도 다른 사람이 잘못 한 거도 지적하지 마.,0.018,0.985,0.608,0.617,0.0,0.25
전화해가지고 나 안골안? 전화와가지고 다 나가라고,전화해가지고 내가 말 안했니? 전화와가지고 다 나가라고,전화해도 안나와서 걱정됐어. 전화와서 다 나가라고 해줘.,0.082,0.733,0.811,1.106,0.333,0.8
아니우다.,아닙니다.,아니요.,0,0.942,0.929,0.986,0.0,0.0
알암수과몰람수과?,알겠습니까모르겠습니까?,알아요? 몰라요?,0,0.385,0.567,1.473,0.0,1.0
봄만 좋아햄수다겅 해야지,봄만 좋아합니다그렇게 해야지,봄만 좋아합니다. 그렇게 말해야죠.,0.061,0.875,0.854,0.976,1.0,0.5
그냥 좋수다.,그냥 좋아요.,그냥 좋아요.,0.221,0.873,1.0,1.145,1.0,0.667
내가 말했잖수.,내가 말했잖아.,내가 말했잖아요.,0.068,0.968,0.99,1.023,0.0,0.667
엄마 저번에 그거 건드련? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,엄마 저번에 그거 건드렸어? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,"어머니, 지난번에 그것을 만졌나요? 이렇게 말하는 것이 사투리를 건드는 것이죠. 서울말은 아니에요.",0.02,0.987,0.77,0.78,0.0,0.1
맛인.,맛있어.,맛있다.,0,0.649,0.963,1.484,0.0,0.0
아까 말 했잖수.,아까 말 했잖아.,방금 말했잖아요.,0,0.938,0.935,0.997,0.0,0.5
이렇게 반 반씩 이렇게 하는거.,이렇게 반 반씩 이렇게 하는거야.,이렇게 반씩 절반으로 하는 것입니다.,0.054,0.992,0.853,0.86,0.0,0.889
너 머리 너 머리에 젖은거 같은데 너 머리에 젖언 만져봐 머리,너 머리 너 머리에 젖은거 같은데 너 머리에 젖었어 만져봐 머리,"당신 머리에 뭔가 젖은 것 같은데, 손으로 만져봐요.",0.02,0.995,0.917,0.922,0.0,0.667
아니 없수다.,아니 없습니다.,"아니요, 없습니다.",0.068,0.779,0.935,1.2,1.0,0.667
이거 인터넷에서 샀지. 이거 메이커일꺼라 것도,이거 인터넷에서 샀지. 이거 메이커일꺼야 그것도,이건 인터넷으로 샀어요. 이건 제조사 제품이라고 하네요.,0,0.989,0.903,0.913,0.0,0.0
혹시 제 제주도와 관련된 영화를 본 적이 이서?,혹시 제 제주도와 관련된 영화를 본 적이 있어?,제주도와 관련된 영화를 본 적이 있나요?,0.544,0.985,0.982,0.997,0.0,0.923
지금 한 삼 이십오분 남았져게.,지금 한 삼 이십오분 남았어.,지금 한 삼이십오분 남았습니다.,0.131,0.99,0.966,0.976,0.0,1.0
내놓을수 이서. 우리가 막 하영 노력한게 너무 많이 들어가부난,내놓을수 있어. 우리가 막 많이 노력한게 너무 많이 들어가서,내놓을 수 있어. 우리가 막 얼마나 열심히 노력한지 정말 많이 들어갔어.,0.125,0.871,0.93,1.068,0.333,0.333
아니 엄마꺼 뜬거.,아니 엄마꺼 뜬거야.,"아니요, 엄마가 삶은 것입니다.",0,0.98,0.681,0.695,0.0,0.333
겁나 발발거리는 거.,겁나 발발거리는 거야.,너무 불안한 것 같아요.,0,0.98,0.766,0.782,0.0,0.0
못 키우쿠과?,못 키우겠습니까?,뭐라고 하는 거죠? 이해가 안 가네요.,0,0.674,0.138,0.205,0.0,0.0
말해서.,말했어.,말씀해주세요.,0,0.728,0.636,0.874,0.0,0.0
그게 아니고 무좀 무좀이랜 하는디 어제 발톱이 떼져부렀거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떼져버렸거든?,"그게 아니라 무찌름이라는데, 어제 발톱이 떨어졌어요.",0.077,0.982,0.783,0.797,0.0,0.545
소중한 거라고 생각하는구나 엄마의 소중함도 알암신가?,소중한 거라고 생각하는구나 엄마의 소중함도 알려나?,소중한 것이라고 생각하는군요. 엄마의 소중함도 알고 있나요?,0.091,0.88,0.973,1.106,0.0,0.5
아 겅하니까이 예초 할땐 조심해야 돼,아 그러니까 예초 할땐 조심해야 돼,"아 겁하니까, 예초를 할 때는 조심해야 해요.",0.038,0.981,0.848,0.864,0.0,0.5
영하다,이렇게하다,-10도 이하이다.,0,0.109,0.203,1.862,0.0,0.0
게메이,그러니까,게임이 (Game-i),0,0.288,0.256,0.889,0.0,0.0
근데 외국에는 원래부터 평평하게 해놘,근데 외국에는 원래부터 평평하게 해놨어,하지만 외국에서는 원래부터 평평하게 만들어져 있습니다.,0.097,0.961,0.972,1.011,0.0,0.4
하면서 막 경하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 막 그렇게하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 멋대로 얕보면서 어떻게 살아낼 거냐고 말하면서 막.,0.033,0.903,0.604,0.669,0.0,0.706
명질에 다 같이 모여그네 이렇게,명절에 다 같이 모여서 이렇게,모두 명지에 모여봅시다.,0,0.582,0.479,0.823,0.0,0.333
그게 별로 그렇게 아들딸 구별 별로 어서났거든 우리는,그게 별로 그렇게 아들딸 구별 별로 없었거든 우리는,그것은 별로 구별이 어렵지 않다는 것이죠. 지금은 그 시대가 뒤로 묻혀 갔으니까요.,0.02,0.805,0.402,0.499,0.0,0.316
어서?,없어?,어서 뭐야?,0,0.467,0.402,0.861,0.0,0.0
잘 저기 뭐 했을거우다게,잘 저기 뭐 했을꺼에요,"잘 가요, 거기서 뭐 했을까요?",0.054,0.962,0.672,0.699,0.0,0.5
멍석깔아놓고 넉둥베기 할때 그렇게 작 작은거해,멍석깔아놓고 윷놀이 할때 그렇게 작 작은거해,돌을 쌓아놓고 높이 뛰어내리기 할 때 그렇게 작 작은 걸 해.,0.052,0.927,0.643,0.694,0.0,0.25
그래 그런것들이 추억이주,그래 그런것들이 추억이지,"그래, 그런 것들이 추억이지.",0,0.962,0.992,1.031,1.0,0.286
어어 겅 하면서 장구 치고,어어 그렇게 하면서 장구 치고,어 이렇게 하면서 장구를 치고 있습니다.,0.045,0.924,0.952,1.03,0.0,0.6
요 중간에는 지금의 코로나땜에 좀 공기가 맑아져그네,요 중간에는 지금의 코로나땜에 좀 공기가 맑아져서,이 중간에는 현재의 코로나 때문에 공기가 조금 맑아졌네.,0.034,0.988,0.973,0.985,0.0,0.286
