dialect,standard,response,BLEU_score,ori_sim,new_sim,relative_sim,dialect_correction,standard_preserve
육십 삼이 나온 거라,육십 삼이 나온 거야,육십 삼이 나온 거야.,0.431,0.986,0.996,1.01,1.0,0.75
개팔자가 상팔자 라는 말이 있져 야이가 제일 편햄쪄 지금,개팔자가 상팔자 라는 말이 있잖아 얘가 제일 편하지 지금,"""개팔자가 상팔자""라는 말이 있잖아 쟤가 제일 편해 지금",0.075,0.875,0.963,1.101,0.333,0.857
근데 새로운거 이모 하고 엄마가예 이제까지 한번도 못 먹어 본 맛좋은 진미를 나가 맛 좋게 먹을 수 있는 데를 딱 해 가지고,근데 새로운거 이모 하고 엄마가요 이제까지 한번도 못 먹어 본 맛좋은 진미를 내가 맛 좋게 먹을 수 있는 데를 딱 해 가지고,근데 새로운거 이모랑 엄마가요 이제까지 한번도 못 먹어 본 맛좋은 진미를 나가 맛 좋게 먹을 수 있는 곳을 찾아가서 딱 해 가지고요.,0.531,0.984,0.955,0.971,0.5,0.905
어 이모는 과자 먹지예 그거 과자도 예 한두 개만 집어먹어 그거 한 봉지를 그냥 홀라당 다 먹으니까 아프지,어 이모는 과자 먹죠 그거 과자도 예 한두 개만 집어먹어 그거 한 봉지를 그냥 홀라당 다 먹으니까 아프지,어 이모는 과자 먹지요 그거 과자도 한두 개만 집어먹어요 그런데 한 봉지를 그냥 홀라당 다 먹으니까 아프겠네요,0.395,0.997,0.982,0.985,0.0,0.882
근데 이제 뭔가 먹으믄 예 빨리 저장해야겠다 너 더 먹어라 더 먹어라 막 하거든,근데 이제 뭔가 먹으면 예 빨리 저장해야겠다 너 더 먹어라 더 먹어라 막 하거든,근데 이제 뭔가 먹으면 빨리 저장해야겠다고 생각해 너 더 먹어라 더 먹어라 막 하잖아,0.545,0.996,0.986,0.99,1.0,0.815
무사  안치완?,왜 안치웠대?,무사 안 치웠나요?,0,0.342,0.568,1.661,0.0,0.667
그래 엄마 이모가 못하면 우리 엄마 같은 사람한테 골아부러 그런거 잘해,그래 엄마 이모가 못하면 우리 엄마 같은 사람한테 말해버려 그런거 잘해,"그래 엄마, 이모가 못한다면 우리 엄마 같은 사람한테 도와달라고 그러는 거 잘해.",0.235,0.818,0.789,0.965,0.0,0.727
야 와가지고 너무 한 것 아니냐 또 따지맨 예 야 잘못한 거를 예 그것도 안 하고 예,야 와가지고 너무 한 것 아니냐 또 따지네요 예 야 잘못한 거를 예 그것도 안 하고 예,야 와서 너무 과했잖아? 그리고 또 따지잖아. 야 잘못한 걸 그것도 안 하고.,0.053,0.985,0.924,0.938,0.0,0.69
전화해가지고 나 안골안? 전화와가지고 다 나가라고,전화해가지고 내가 말 안했니? 전화와가지고 다 나가라고,전화해서 나 안골안? 전화와서 다 나가라고,0.082,0.733,0.71,0.969,0.333,1.111
아니우다.,아닙니다.,아니에요.,0,0.942,0.964,1.023,0.0,0.0
알암수과몰람수과?,알겠습니까모르겠습니까?,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
봄만 좋아햄수다겅 해야지,봄만 좋아합니다그렇게 해야지,봄만 좋아합니다.,0.041,0.875,0.822,0.939,0.0,0.667
그냥 좋수다.,그냥 좋아요.,그냥 좋아요.,0.221,0.873,1.0,1.145,1.0,0.667
내가 말했잖수.,내가 말했잖아.,내가 말했잖아.,0.221,0.968,1.0,1.033,1.0,0.667
엄마 저번에 그거 건드련? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,엄마 저번에 그거 건드렸어? 이렇게 하는게 사투리지 건드렸잖아는 서울말이지.,"엄마 저번에 그거 건드렸었어? 이렇게 말하는 건 사투리야, 건드렸잖아. 서울말이지.",0.146,0.987,0.984,0.997,0.0,0.556
맛인.,맛있어.,맛있어.,1.0,0.649,1.0,1.541,1.0,0.0
아까 말 했잖수.,아까 말 했잖아.,아까 말했잖아.,0.041,0.938,0.95,1.013,1.0,0.8
이렇게 반 반씩 이렇게 하는거.,이렇게 반 반씩 이렇게 하는거야.,이렇게 반씩 이렇게 하는 거야.,0.134,0.992,0.976,0.984,0.0,0.889
너 머리 너 머리에 젖은거 같은데 너 머리에 젖언 만져봐 머리,너 머리 너 머리에 젖은거 같은데 너 머리에 젖었어 만져봐 머리,너 머리에 젖은거 같은데 만져봐.,0.201,0.995,0.95,0.955,0.0,1.333
아니 없수다.,아니 없습니다.,아니 없어.,0.068,0.779,0.98,1.258,0.0,0.667
이거 인터넷에서 샀지. 이거 메이커일꺼라 것도,이거 인터넷에서 샀지. 이거 메이커일꺼야 그것도,이거 인터넷에서 샀어. 이거 메이커일 거야.,0.108,0.989,0.989,1.0,0.0,0.6
혹시 제 제주도와 관련된 영화를 본 적이 이서?,혹시 제 제주도와 관련된 영화를 본 적이 있어?,혹시 제주도와 관련된 영화를 본 적 있어?,0.394,0.985,0.987,1.002,1.0,0.857
지금 한 삼 이십오분 남았져게.,지금 한 삼 이십오분 남았어.,지금 한 삼 이십오분 남았어요.,0.669,0.99,0.997,1.007,0.0,0.889
내놓을수 이서. 우리가 막 하영 노력한게 너무 많이 들어가부난,내놓을수 있어. 우리가 막 많이 노력한게 너무 많이 들어가서,내놓을 수 있어. 우리가 막 많이 노력한게 너무 많이 들어가잖아.,0.639,0.871,0.984,1.13,0.333,0.588
아니 엄마꺼 뜬거.,아니 엄마꺼 뜬거야.,"아니, 엄마꺼 뜬거야.",0.212,0.98,0.992,1.012,1.0,0.8
겁나 발발거리는 거.,겁나 발발거리는 거야.,겁나 발뺌거리는 거야.,0.086,0.98,0.854,0.871,1.0,0.4
못 키우쿠과?,못 키우겠습니까?,키우지 못하나요?,0,0.674,0.949,1.408,0.0,0.667
말해서.,말했어.,말하고 말라고 말했죠.,0,0.728,0.617,0.848,0.0,0.0
그게 아니고 무좀 무좀이랜 하는디 어제 발톱이 떼져부렀거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떼져버렸거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떨어져버렸거든?,0.841,0.982,0.995,1.013,0.667,0.769
소중한 거라고 생각하는구나 엄마의 소중함도 알암신가?,소중한 거라고 생각하는구나 엄마의 소중함도 알려나?,"소중한 거라고 생각하는구나, 엄마의 소중함도 알고 있나요?",0.116,0.88,0.982,1.116,0.0,0.833
아 겅하니까이 예초 할땐 조심해야 돼,아 그러니까 예초 할땐 조심해야 돼,아 그렇게 하니까 이럴 때는 조심해야 돼,0.091,0.981,0.782,0.797,0.0,0.5
영하다,이렇게하다,너무 추워서,0,0.109,0.144,1.321,0.0,0.0
게메이,그러니까,어!,0,0.288,0.488,1.694,0.0,0.0
근데 외국에는 원래부터 평평하게 해놘,근데 외국에는 원래부터 평평하게 해놨어,근데 외국에는 원래부터 평평하게 해놨잖아,0.669,0.961,0.991,1.031,0.0,0.889
하면서 막 경하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 막 그렇게하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 막 그러니까 그렇게 하면 애들을 어떻게 먹고 살릴 거냐고 물어보면서 막,0.075,0.903,0.751,0.832,1.0,0.667
명질에 다 같이 모여그네 이렇게,명절에 다 같이 모여서 이렇게,명절에 다 같이 모여서 이렇게,1.0,0.582,1.0,1.718,1.0,0.75
그게 별로 그렇게 아들딸 구별 별로 어서났거든 우리는,그게 별로 그렇게 아들딸 구별 별로 없었거든 우리는,그게 별로 그렇게 아들딸 구별이 별로 없었거든 우리는,0.5,0.805,0.995,1.236,1.0,0.933
어서?,없어?,없어?,1.0,0.467,1.0,2.141,1.0,0.0
